lga,lga_name,metro_rural,dh_region,area_of_lga_sq_km,asgc_code,most_populpus_community,distance_to_melbourne,travel_time_to_melbourne,remoteness_area,aria_measures_low_avg_high,business,industrial,residential,rural,other,per_annum_population_change_2000_2010,per_annum_projected_population_change_2010_2022,erp_2010_females_0_14,erp_2010_females_15_24,erp_2010_females_25_44,erp_2010_females_45_64,erp_2010_females_65_84,erp_2010_females_85,erp_2010_females_total,erp_2010_males_0_14,erp_2010_males_15_24,erp_2010_males_25_44,erp_2010_males_45_64,erp_2010_males_65_84,erp_2010_males_85,erp_2010_males_total,erp_2010_total_0_14,erp_2010_total_15_24,erp_2010_total_25_44,erp_2010_total_45_64,erp_2010_total_65_84,erp_2010_total_85,erp_2010_total,erp_2010_0_14,erp_2010_15_24,erp_2010_25_44,erp_2010_45_64,erp_2010_65_84,erp_2010_85,total_fertility_rate,rank_total_fertility_rate,atsi_population,rank_atsi_population,born_overseas,rank_born_overseas,speak_lote_at_home,rank_lote,low_english_proficiency,rank_low_english_proficiency,anglo_saxon_celtic_background,rank_anglo_saxon_celtic,new_settler_arrivals_per_100_000_population,rank_new_settler_arrivals,humanitarian_arrivals,rank_humanitarian_arrivals,believe_multiculturalism_makes_life_better,rank_believe_multiculturalism_makes_life_better,irsed,rank_irsed,households_with_internet_connected,rank_households_with_internet_connected,gaming_machine_losses_per_head_of_population,rank_gaming_machine_losses,family_incidents_per_1_000_population,rank_family_incidents_per_1_000_population,drug_usage_possession_offences_per_1_000_population,rank_drug_usage_possession_offences_per_1_000_population,total_offences_per_1_000_population,rank_total_offences_per_1_000_population,who_feel_safe_on_street_after_dark,rank_feel_safe_on_street_after_dark,of_population_which_volunteers,rank_population_which_volunteers,of_population_with_membership_of_organised_groups,rank_membership_of_organised_groups,of_parents_who_participate_in_schools,rank_parents_who_participate_in_schools,of_population_who_believe_the_area_has_good_facilities_and_se,rank_believe_the_area_has_good_facilities_and_services,unemployment_rate,rank_unemployment_rate,of_persons_with_individual_income_400_per_week,rank_individual_income_400,female_low_income,male_low_income,families_headed_by_one_parent,rank_one_parent_families,female_one_parent_families,male_one_parent_families,of_households_with_income_650_per_week,rank_households_with_income_650_per_week,low_income_families_with_children,rank_low_income_families_with_children,population_with_food_insecurity,rank_population_with_food_insecurity,of_households_with_housing_costs_40_of_income,rank_households_with_housing_costs_40_of_income,of_rental_housing_that_is_affordable,rank_rental_housing_that_is_affordable,median_house_price,rank_median_house_price,median_rent_for_3_bedroom_house,rank_median_rent_for_3_bedroom_house,new_dwellings_per_1_000_population,rank_new_dwellings_per_1_000_population,social_housing_as_a_percentage_of_total_dwellings,rank_social_housing_as_a_percentage_of_total_dwellings,dwellings_with_no_motor_vehicle,rank_dwellings_with_no_motor_vehicle,passenger_vehicles_per_1_000_population,rank_passenger_vehicles_per_1_000_population,motor_vehicles_more_than_ten_years_old,rank_motor_vehicles_more_than_ten_years_old,household_recycling_diversion_rate,rank_household_recycling_diversion_rate,household_garbage_yield_kg,rank_household_garbage_yield,fte_students,year_9_students_who_attain_tiol_minimum_standards_in_read,rank_year_9_students_who_attain_tiol_minimum_standards_in_r,year_9_students_who_attain_tiol_minimum_standards_in_writ,rank_year_9_students_who_attain_tiol_minimum_standards_in_w,year_9_students_who_attain_tiol_minimum_standards_in_nume,rank_year_9_students_who_attain_tiol_minimum_standards_in_n,of_population_who_did_not_complete_year_12,rank_population_who_did_not_complete_year_12,of_population_with_higher_education_qualification,rank_population_with_higher_education_qualification,students_attending_a_government_school,rank_students_attending_a_government_school,low_birth_weight_babies,rank_low_birth_weight_babies,persons_reporting_asthma,rank_persons_reporting_asthma,persons_reporting_type_2_diabetes,rank_persons_reporting_type_2_diabetes,asthma_admission_rate_ratio,rank_asthma_admission_rate_ratio,diabetes_complications_admission_rate_ratio,rank_diabetes_complications_admission_rate_ratio,persons_overweight_or_obese,rank_persons_overweight_or_obese,females_overweight_or_obese,rank_females_overweight_or_obese,males_overweight_or_obese,rank_males_overweight_or_obese,cancer_incidence_per_100_000_population,cancer_incidence___females_per_100_000,cancer_incidence___males_per_100_000,acsc_acute_per_1_000_population,rank_acsc_acute,acsc_chronic_per_1_000_population,rank_acsc_chronic,acsc_vaccine_preventablem_per_1_000_population,rank_acsc_vaccine_preventable,notifications_per_1_000_people_of_pertussis,rank_pertussis_notifications,notifications_per_1_000_people_of_influenza,rank_influenza_notifications,notifications_per_1_000_people_of_chlamydia,rank_chlamydia_notifications
Brimbank ,BRIMBANK,Metro,North & West Metropolitan,123.3825128,21180,St Albans,17.6,27,Highly Accessible,(0.00 / 0.00 / 0.05),1.50%,19.80%,46.20%,6.90%,25.60%,0.013607196,0.009026115,17629,13675,27898,23608,9888,1344,94042,18386,15436,28479,23036,9204,803,95344,36015,29111,56377,46644,19092,2147,189386,0.190167172,0.153712524,0.297683039,0.246290645,0.100809986,0.011336635,1.92,51,0.00363062,66,0.467756637,3,0.569,2,0.134651868,2,0.269325935,79,694.3491071,8,0.14904943,11,0.8144,13,930.47,3,0.535392274,49,1004.368255,2,8.955255404,20,2.423108361,17,80.82843399,12,0.4153,78,0.097980103,79,0.4703,79,0.5161,46,0.7771,48,7.981622197,5,0.535936377,13,0.603627342,0.396372658,0.195321327,4,0.846494214,0.153505786,0.335125002,47,0.148993309,4,0.049,51,0.105966737,9,0.307359307,47,397500,27,300,32,4.878924525,60,0.030664533,44,0.092942202,14,548.3389976,70,0.521576977,43,0.340724012,50,590.9997916,11,28166.4,0.876966292,68,0.868317389,45,0.90286356,72,0.539522707,57,0.345092991,27,0.600441758,65,0.068655245,24,0.119141,27,0.066774,7,1.18,23,1.42,7,0.521993,41,0.412405,55,0.633075,22,390.7363797,355.1604602,425.826481,11.42111877,62,20.50837971,40,1.256692681,5,0.70754966,63,0.184807747,55,2.634830452,32
Buloke ,BULOKE,Rural,Loddon Mallee,8001.113001,21270,Donald,273.6,213,Moderately Accessible,(2.81 / 4.54 / 6.07),<1%,<1%,<1%,94.20%,5.60%,-0.005225132,-0.003380618,571,303,767,950,726,161,3478,750,378,683,1038,613,88,3550,1321,681,1450,1988,1339,249,7028,0.187962436,0.096898122,0.206317587,0.282868526,0.19052362,0.03542971,2.24,10,0.007744297,29,0.045245399,79,0.015,76,0.001650165,76,0.911561781,1,14.22879909,76,0,,0.5996,60,970.55,21,0.455014749,75,0,71,3.984063745,64,0.711439954,69,48.90253273,49,0.827,2,0.455282944,3,0.7807,1,0.7814,3,0.6423,70,3.534914801,64,0.588871412,3,0.577963272,0.422036728,0.106010929,76,0.826530612,0.173469388,0.509160305,3,0.073211559,54,0.045,56,0.032056006,76,1,1,88000,77,-,,1.5651679,75,0.032537582,42,0.06374808,47,556.0936255,65,0.647175573,1,0.278047301,66,554.6367823,18,1144.7,0.967741935,8,0.923076923,15,0.97826087,11,0.728323699,7,0.281509917,48,0.868852459,3,0.072463768,17,0.134866,11,0.043841,42,1.38,8,1.24,15,0.597116,2,0.479065,25,0.741246,1,739.8975526,546.2909718,929.5774648,20.48947069,2,42.40182129,2,1.707455891,2,0.996015936,49,0.142287991,64,0.996015936,74
Campaspe ,CAMPASPE,Rural,Loddon Mallee,4518.137151,21370,Echuca,205.9,161.6,Highly Accessible,(1.00 / 1.72 / 2.77),<1%,<1%,<1%,89.80%,9.30%,0.00777989,0.006720688,3696,2193,4553,5243,3128,552,19365,4045,2499,4396,5312,3027,339,19618,7741,4692,8949,10555,6155,891,38983,0.198573737,0.120360157,0.229561604,0.270759049,0.157889336,0.022856117,2.13,25,0.019260565,6,0.060048483,73,0.022,63,0.003488206,53,0.873961219,13,69.26095991,59,0,,0.5545,70,974.37,25,0.495322245,64,257.7734542,58,7.080009235,33,1.179347408,52,67.19081651,26,0.7042,24,0.280183979,31,0.6677,27,0.5867,22,0.8067,38,5.95758522,20,0.503262519,25,0.608171265,0.391828735,0.138721228,42,0.82300885,0.17699115,0.394016501,25,0.101570011,25,0.039,65,0.071836735,45,0.769230769,21,220000,59,220,64,3.873483313,65,0.052688705,17,0.067979915,43,573.433648,55,0.54671984,34,0.355720451,46,499.8146775,29,6816,0.89298893,60,0.834274953,68,0.908571429,68,0.726676947,8,0.242192691,72,0.762020006,16,0.074475777,12,0.118296,28,0.057499,15,1.3,14,1.49,6,0.579708,11,0.54554,2,0.615104,32,633.6095221,495.7397366,769.7012947,16.3661083,13,33.09134751,6,0.615652977,48,0.795218429,60,0.436087525,21,2.411307493,42
Cardinia ,CARDINIA,Metro,Southern Metropolitan,1281.750656,21450,Pakenham,59.7,91.6,Highly Accessible,(0.00 / 0.63 / 1.37),<1%,<1%,3.30%,62.90%,33.30%,0.04822938,0.044820758,8253,4974,10947,8449,3348,502,36473,8944,5400,10590,8500,3113,298,36845,17197,10374,21537,16949,6461,800,73318,0.234553588,0.141493221,0.293747784,0.231171063,0.088122971,0.010911372,2.19,14,0.004390161,59,0.150959179,33,0.049,37,0.005117053,40,0.783232355,44,136.3921547,34,0.02,32,0.6358,53,1027.16,61,0.645472265,20,363.4811595,49,8.67454104,23,1.569231294,34,52.08893178,43,0.6112,51,0.21136691,55,0.6058,58,0.4901,53,0.7109,64,4.933050413,40,0.436290608,63,0.654449655,0.345550345,0.140424979,41,0.813308688,0.186691312,0.256827931,68,0.10104562,27,0.094,6,0.092212035,17,0.35174954,45,342000,34,305,31,25.99634469,3,0.014385123,67,0.037829928,76,568.4540249,57,0.500060956,52,0.365765966,42,576.6614003,12,12950.2,0.923190547,36,0.834564254,66,0.957037037,29,0.632110579,37,0.256553846,65,0.664212488,44,0.057362075,64,0.105159,40,0.04627,37,1.25,18,1.01,34,0.531636,37,0.49145,16,0.612695,33,441.9105813,397.5543553,485.8189714,10.63858807,72,16.16247033,66,0.463733326,65,1.268447039,35,0.627403912,7,2.291388199,50
Casey ,CASEY,Metro,Southern Metropolitan,409.4458194,21610,Berwick,45.5,70,Highly Accessible,(0.00 / 0.11 / 0.48),<1%,1.10%,26.90%,38.80%,32.50%,0.039442885,0.02301204,28650,18281,39788,29703,10264,1257,127943,29416,19918,38672,29639,9324,747,127716,58066,38199,78460,59342,19588,2004,255659,0.227122847,0.149413868,0.306893166,0.23211387,0.076617682,0.007838566,2.08,31,0.00579304,50,0.323296528,11,0.249,17,0.037764572,16,0.592931009,63,477.5892889,16,0.138411138,12,0.7658,25,1012.33,53,0.654717501,18,625.3167827,29,10.4435987,13,1.025764788,57,53.36481524,41,0.5078,72,0.135090966,74,0.5517,69,0.3933,71,0.8744,21,5.210552731,32,0.433699324,66,0.654750313,0.345249687,0.158337371,22,0.839305222,0.160694778,0.232065307,72,0.107938332,23,0.054,43,0.106652541,8,0.164754098,55,375000,29,320,26,8.839900023,31,0.02500936,51,0.043762855,70,565.6246074,59,0.474199987,60,0.469015482,18,524.2628571,20,44335,0.893487328,59,0.876863253,39,0.924510119,57,0.561797068,52,0.269684936,54,0.682889423,37,0.066159959,37,0.128212,15,0.066136,9,1.39,7,1.31,11,0.536367,32,0.408595,56,0.655116,14,355.551731,309.5128299,401.6724608,11.29238556,64,18.15308673,58,0.606276329,51,1.04435987,46,0.516312745,12,2.816251335,24
Central Goldfields ,CENTRAL GOLDFIELDS,Rural,Loddon Mallee,1532.32728,21670,Maryborough,165,131.5,Highly Accessible,(0.88 / 1.47 / 2.47),<1%,<1%,<1%,73.10%,25.80%,-0.00094114,0.003893094,1076,683,1262,1835,1390,245,6491,1126,678,1271,1854,1332,144,6405,2202,1361,2533,3689,2722,389,12896,0.17075062,0.1055366,0.196417494,0.286057692,0.211073201,0.030164392,2.13,25,0.009533564,23,0.081984066,60,0.017,72,0.002000333,71,0.887340302,10,23.2630273,74,0,,0.5524,71,907.14,2,0.407169297,79,781.2404149,10,13.49255583,3,1.821843983,27,72.3652683,20,0.6889,31,0.260916912,37,0.6289,50,0.5258,43,0.7795,45,8.007634581,3,0.628702813,1,0.562850825,0.437149175,0.171939074,12,0.839590444,0.160409556,0.544453507,1,0.12977459,9,0.111,3,0.06597898,53,0.918367347,8,157500,71,220,64,6.048387097,49,0.048806865,21,0.091278715,17,614.2432925,22,0.634417571,4,0.323623714,56,375.4295533,68,2287.1,0.867021277,71,0.830687831,69,0.909574468,67,0.736503714,5,0.200493305,79,0.759010221,17,0.112745098,1,0.148729,6,0.074559,3,0.57,76,1.17,19,0.505622,49,0.451151,38,0.537395,64,953.7841191,831.9211216,1077.283372,16.36166253,15,34.1191067,4,0.697890819,36,5.117866005,2,0.232630273,49,1.783498759,63
Colac Otway ,COLAC OTWAY,Rural,Barwon-South Western,3438.687698,21750,Colac,149.1,118.3,Highly Accessible,(1.13 / 2.06 / 3.57),<1%,<1%,<1%,63.80%,35.60%,0.005946376,0.009008531,1986,1370,2546,2879,1799,337,10917,2085,1524,2709,3109,1592,161,11180,4071,2894,5255,5988,3391,498,22097,0.184233154,0.130968005,0.237815088,0.270987012,0.153459746,0.022536996,2.16,20,0.007555598,32,0.07149966,65,0.025,57,0.003690983,49,0.866702197,16,72.40801919,56,0.0625,18,0.7397,29,967.3,18,0.480784212,69,446.4532225,43,4.661266235,60,2.556917229,15,56.68469475,37,0.6083,52,0.28111832,29,0.722,9,0.4319,65,0.7539,57,4.952835078,38,0.49719888,31,0.61314554,0.38685446,0.15110198,30,0.810643564,0.189356436,0.393968082,26,0.096148245,29,0.023,78,0.061558442,60,0.633333333,33,245000,50,250,48,5.837896547,53,0.040546874,30,0.076070801,33,578.5338236,52,0.584645161,15,0.414660104,26,463.3961447,39,3464.1,0.890625,62,0.841269841,63,0.944664032,43,0.687162162,21,0.260473934,59,0.703955136,29,0.050065876,72,0.105009,41,0.028272,73,0.87,55,0.57,77,0.508186,48,0.445601,42,0.574872,48,534.0091415,503.8014106,563.5062612,16.9706295,8,16.78960945,62,0.995610264,16,1.538670408,29,0.22627506,50,3.213105851,15
Corangamite ,CORANGAMITE,Rural,Barwon-South Western,4408.245986,21830,Camperdown,193,150.7,Accessible,(1.67 / 2.47 / 3.59),<1%,<1%,<1%,87.20%,12.30%,-0.000557837,0.003318151,1662,966,1891,2406,1455,282,8662,1869,963,2076,2477,1346,121,8852,3531,1929,3967,4883,2801,403,17514,0.20161014,0.110140459,0.226504511,0.278805527,0.159929199,0.023010163,2.44,3,0.004951937,55,0.06615453,67,0.016,75,0.001803707,74,0.890555893,7,62.80689734,60,0,,0.5626,69,989.54,37,0.491973407,66,269.6330642,56,6.451981272,41,0.695683453,70,35.28364737,67,0.7887,5,0.327845323,16,0.6837,21,0.5414,37,0.7592,53,3.494721514,66,0.48511031,41,0.607816012,0.392183988,0.124372433,56,0.784277879,0.215722121,0.380766621,32,0.069739964,59,0.045,56,0.048685492,70,0.855263158,10,184750,68,220,64,2.512275894,74,0.026212979,48,0.054300169,57,544.1762533,73,0.578360854,16,0.518942616,9,424.0954114,54,3125.9,0.916,42,0.851405622,58,0.923387097,58,0.712846987,12,0.258638473,62,0.749570003,19,0.084097859,5,0.160549,2,0.052698,23,1.3,14,1.05,32,0.548863,27,0.467735,33,0.604003,35,645.1981272,438.6977603,847.2661545,15.5304328,19,28.5485897,15,1.141943588,9,5.595523581,1,0.570971794,9,1.770012561,64
Darebin ,DAREBIN,Metro,North & West Metropolitan,53.46357846,21890,Reservoir,12.9,20.8,Highly Accessible,(0.00 / 0.00 / 0.00),2.50%,6.20%,63.60%,<1%,27.70%,0.010298728,0.010035824,11077,9477,24530,15223,9688,1988,71983,11604,9312,24200,14829,8095,1116,69156,22681,18789,48730,30052,17783,3104,141139,0.160699736,0.133124083,0.345262472,0.212924847,0.125996358,0.021992504,1.72,67,0.009719853,22,0.348786154,8,0.417,6,0.091493248,4,0.427043409,75,621.3732562,12,0.034207526,25,0.8283,10,971.57,24,0.538315872,47,787.3556176,9,7.106469509,32,1.527413401,37,72.09525362,21,0.4722,76,0.142990861,71,0.5588,66,0.6162,15,0.8985,15,5.363031589,27,0.499979207,26,0.591782417,0.408217583,0.175742651,10,0.834367796,0.165632204,0.353403476,41,0.090494077,37,0.043,60,0.098128821,15,0.032,65,623000,13,400,8,7.007276515,39,0.062691413,11,0.168150774,5,522.9505367,76,0.513559503,46,0.361145223,45,457.996633,40,15592,0.88027366,66,0.863791146,49,0.916284404,61,0.451768387,67,0.552051763,8,0.60788897,62,0.064510965,43,0.10019,48,0.06353,12,0.94,46,1.31,11,0.456807,64,0.362737,66,0.566241,52,482.5030644,423.711154,543.6983053,13.44065071,41,23.98344894,29,0.928163017,19,0.609328393,71,0.460538901,17,2.323950148,49
East Gippsland ,EAST GIPPSLAND,Rural,Gippsland,20936.50874,22110,Bairnsdale,275.1,212.3,Moderately Accessible,(2.50 / 5.30 / 8.39),<1%,<1%,<1%,20.20%,79.40%,0.011814514,0.013332251,3554,2488,4708,6668,4258,691,22367,3988,2456,4394,6320,4333,404,21895,7542,4944,9102,12988,8591,1095,44262,0.170394469,0.111698522,0.205639149,0.293434549,0.194094257,0.024739054,2.19,14,0.030467768,4,0.108870111,45,0.031,50,0.002916971,61,0.852144953,23,90.37097284,49,0,,0.5646,68,962.92,15,0.504646542,58,696.4139801,24,12.47119425,5,1.510098956,38,67.60110253,25,0.6895,30,0.299172717,25,0.6719,26,0.5006,51,0.757,54,5.509064081,25,0.555984942,6,0.590808317,0.409191683,0.136483657,46,0.835443038,0.164556962,0.459239493,8,0.108886664,22,0.053,45,0.066589758,52,0.67755102,29,253000,48,255,46,9.827843297,24,0.044851972,23,0.068967819,42,613.010709,26,0.567309099,23,0.475082185,15,371.9955601,70,6333.9,0.900952381,55,0.849809886,59,0.944230769,44,0.690906012,18,0.251427536,66,0.73807947,23,0.091178651,3,0.098997,50,0.04798,35,1.19,22,0.85,56,0.592076,5,0.463319,36,0.714016,2,711.6714111,652.747351,771.8657228,12.56156523,52,23.99349329,28,0.813338756,28,2.101125119,16,0.045185486,74,1.784826714,62
Eastern Metropolitan,EASTERN METROPOLITAN,,,2959.86777,NA,,,,NA,,<1%,<1%,12.10%,28.60%,58%,0.007377767,0.005684589,87214,74784,141910,138292,70484,14447,527131,92053,80942,141219,127738,61208,7056,510216,179267,155726,283129,266030,131692,21503,1037347,0.172812955,0.150119488,0.272935671,0.256452277,0.12695077,0.02072884,,8,0.002834146,8,0.288357988,3,0.231,2,0.034943081,3,0.62040733,7,503.8815363,2,0.034245265,7,0.7977,2,,,0.690647078,1,552.8222941,5,4.544284603,8,0.869242597,8,40.9894047,8,0.6029,6,0.207064225,6,0.6533,2,0.5568,2,0.9078,6,4.201679623,8,0.431152904,7,0.630174074,0.369825926,0.137031242,8,0.832379603,0.167620397,0.249182134,8,0.055209068,8,0.048,7,0.079893389,3,,,,,375,1,6.393231966,8,0.020307886,8,0.068318952,7,624.8238826,1,0.445243001,8,0.5145978,1,464.0744073,6,166166,0.953829839,1,0.928809698,1,0.968706594,1,0.434721284,8,0.498260828,1,0.624344688,6,0.061008707,8,0.108,3,0.039,8,0.87,6,0.78,6,0.451,8,0.365,8,0.542,8,526.2462802,457.3815617,597.3940449,13.06795123,5,16.41302284,8,0.613102462,8,0.993881507,7,0.3190832,4,2.336730139,8
Frankston ,FRANKSTON,Metro,Southern Metropolitan,129.6100207,22170,Frankston,42.8,65.6,Highly Accessible,(0.00 / 0.00 / 0.04),1.30%,3.80%,46.90%,19.20%,28.80%,0.014917719,0.009358894,12344,9265,18609,16540,8226,1462,66446,12471,9663,18443,15789,6846,804,64016,24815,18928,37052,32329,15072,2266,130462,0.190208643,0.145084392,0.284006071,0.247803958,0.115527893,0.017369042,2.01,39,0.006871606,38,0.224734323,25,0.087,31,0.011130206,32,0.780827481,45,177.8295596,30,0.030172414,27,0.7483,28,996.51,43,0.600390401,25,696.753125,23,12.45573424,6,2.336162254,19,88.37046803,8,0.5706,59,0.15486915,69,0.5003,75,0.5258,43,0.8984,16,6.483728981,15,0.451244813,56,0.645141066,0.354858934,0.203959954,1,0.842064113,0.157935887,0.319600351,49,0.121870994,11,0.086,10,0.099593543,12,0.168831169,54,375000,29,315,29,9.489353222,27,0.040942893,29,0.085863899,23,585.9059036,43,0.494110524,55,0.510890828,12,412.0604401,59,20639,0.91851369,40,0.876347495,40,0.939820743,46,0.600838984,45,0.259991126,60,0.767366276,14,0.076040703,9,0.113209,34,0.070481,5,1.07,34,1.13,23,0.496747,52,0.443894,43,0.556946,57,547.2857997,454.5044096,643.5891027,15.1768331,23,23.57008171,31,0.728181386,34,1.280066226,34,0.344928025,34,3.502935721,11
Gannawarra ,GANNAWARRA,Rural,Loddon Mallee,3735.979959,22250,Kerang,278.6,211.4,Accessible,(2.55 / 3.39 / 4.34),<1%,<1%,<1%,87.30%,12.30%,-0.003793278,-0.001181218,1061,607,1190,1520,1104,205,5687,1185,634,1376,1610,1019,106,5930,2246,1241,2566,3130,2123,311,11617,0.19333735,0.106826203,0.220883188,0.269432728,0.182749419,0.026771111,2.07,32,0.014678112,7,0.050051551,77,0.017,73,0.003672757,50,0.892021208,6,111.9049669,39,0,,0.4926,78,970.85,23,0.453627181,76,165.8348742,66,9.21063958,19,0.774726694,65,55.86640269,39,0.7079,22,0.357073171,9,0.7427,4,0.4331,64,0.7207,62,3.848396501,60,0.536620393,12,0.586752899,0.413247101,0.114015028,72,0.794871795,0.205128205,0.440954468,12,0.07873244,49,0.052,47,0.045423262,74,0.945454545,7,140000,75,170,72,1.205130412,78,0.036810775,33,0.060606061,53,546.0101575,72,0.589088587,11,0.325827338,55,505.1164816,24,1520.7,0.919642857,39,0.872727273,42,0.924528302,56,0.762699387,1,0.210084034,78,0.817046688,11,0.072351421,18,0.114295,31,0.047191,36,1.58,5,1.34,9,0.510165,46,0.413738,54,0.578398,47,878.0235861,562.6868296,1180.438449,15.92493759,17,35.55134716,3,1.032968925,13,0.430403719,77,0,76,0.946888181,75
Gippsland,GIPPSLAND,,,41375.0847,NA,,,,NA,,<1%,<1%,<1%,35.80%,63.50%,0.01113922,0.012644067,23765,16566,31117,38051,21219,3610,134328,24983,17123,30477,36824,20284,1971,131662,48748,33689,61594,74875,41503,5581,265990,0.183270048,0.126655137,0.231565096,0.281495545,0.156032182,0.020981992,,2,0.013686297,3,0.122572242,5,0.041,6,0.004925395,7,0.813491186,3,78.19842851,8,0.024038462,8,0.6398,6,,,0.534721149,7,658.037271,2,10.94402045,1,1.550620324,6,68.47918982,2,0.6511,3,0.269921394,2,0.6504,3,0.4498,8,0.7559,3,5.173178277,5,0.525399038,1,0.61501158,0.38498842,0.153561907,5,0.830272903,0.169727097,0.413599358,1,0.109368938,1,0.058,4,0.0680852,7,,,,,250,6,10.26730328,3,0.044283159,4,0.073194561,6,607.3711621,2,0.544893786,4,0.395408201,4,383.2868755,8,42573.8,0.916490166,4,0.857229463,7,0.943470375,4,0.67992922,1,0.255637189,8,0.698639015,3,0.076261724,1,0.099,8,0.049,3,1.11,1,0.97,4,0.532,4,0.464,4,0.607,3,609.7973608,513.6680364,707.8731904,13.88022106,4,24.55731418,1,0.639121771,6,2.744464078,1,0.150381593,8,2.657994661,7
Glen Eira ,GLEN EIRA,Metro,Southern Metropolitan,38.68921413,22310,Bentleigh East,17,26.1,Highly Accessible,(0.00 / 0.00 / 0.00),3.30%,<1%,83.20%,<1%,12.90%,0.012089349,0.005907145,11549,8567,21375,16625,9038,2806,69960,12350,9162,21592,16101,7117,1430,67752,23899,17729,42967,32726,16155,4236,137712,0.173543337,0.128739689,0.312006216,0.237640874,0.117310038,0.030759847,1.72,67,0.001479438,77,0.344580813,10,0.277,13,0.036957234,17,0.516094241,68,716.7131405,6,0.012158055,36,0.9011,3,1071.21,74,0.667716073,13,718.1235972,19,4.15359591,62,1.014696613,58,36.53625683,64,0.6693,36,0.197774977,60,0.5993,59,0.5944,20,0.9467,3,3.49931527,65,0.405350641,73,0.615386672,0.384613328,0.129202415,52,0.827518428,0.172481572,0.271417134,63,0.041802987,76,0.027,76,0.098195173,14,0.017135024,70,905000,5,480,7,6.949285465,40,0.013236578,70,0.117766166,10,552.1159427,67,0.436293234,68,0.33029204,53,612.1594029,6,17951.1,0.973977695,6,0.95260223,5,0.985673352,6,0.335479794,74,0.605264713,6,0.458590091,76,0.06323667,48,0.085106,69,0.039708,50,0.85,60,0.89,50,0.436999,71,0.333669,69,0.546856,59,582.3748112,540.3087479,625.8117842,11.69832694,58,18.40072034,56,0.515568723,61,1.132798885,41,0.798768444,1,3.180550715,17
Glenelg ,GLENELG,Rural,Barwon-South Western,6217.927925,22410,Portland,354.1,270.6,Accessible,(2.63 / 3.38 / 5.37),<1%,<1%,<1%,71.70%,27.80%,0.003501973,0.004025366,1844,1148,2515,3019,1597,322,10445,1953,1462,2561,3144,1500,184,10804,3797,2610,5076,6163,3097,506,21249,0.178690762,0.12282931,0.23888183,0.290037178,0.145748035,0.023812885,1.79,62,0.01980971,5,0.074936926,63,0.018,68,0.001842008,73,0.866273658,17,47.06103817,70,0,,0.6663,48,961.95,14,0.515437849,56,418.2732955,44,8.706292061,22,1.694027954,30,69.076173,24,0.5736,58,0.321182609,18,0.6772,22,0.8182,1,0.7445,59,6.357638591,16,0.496413298,33,0.628595248,0.371404752,0.141035402,40,0.79757085,0.20242915,0.38100497,31,0.094087536,33,0.068,26,0.05225369,68,0.848275862,12,201500,64,220,64,3.85900513,67,0.044220247,24,0.063401776,49,561.515276,61,0.573128415,19,0.300225168,62,384.2825485,67,3161.3,0.86259542,73,0.796875,75,0.923371648,59,0.721875219,9,0.24191888,73,0.714757049,27,0.063174114,50,0.142537,8,0.063794,11,0.66,70,1.56,3,0.589984,7,0.48918,17,0.709991,3,654.1484305,631.8812829,675.6756757,12.9417855,48,33.13097087,5,0.658854534,42,3.435455786,5,0.047061038,73,2.82366229,23
Golden Plains ,GOLDEN PLAINS,Rural,Grampians,2703.260682,22490,Bannockburn,86.3,68.9,Highly Accessible,(0.25 / 1.39 / 2.66),<1%,<1%,2%,88.80%,9.10%,0.024045553,0.018889455,2126,940,2413,2717,792,56,9044,2124,1147,2332,2936,982,60,9581,4250,2087,4745,5653,1774,116,18625,0.228187919,0.112053691,0.254765101,0.303516779,0.095248322,0.006228188,2.25,9,0.005995415,47,0.107085809,46,0.029,53,0.003272704,56,0.842504562,30,37.58389262,72,0,,0.5868,64,1025.49,59,0.64869281,19,0,71,1.932885906,78,0.566577181,74,26.91887785,77,0.7318,18,0.258474213,38,0.6128,55,0.4609,58,0.5444,77,4.227889862,53,0.478922918,45,0.623675229,0.376324771,0.097979579,78,0.78539823,0.21460177,0.278566094,60,0.076986748,50,0.042,62,0.061524501,61,0.441176471,43,301000,39,272.5,41,11.65100671,15,0.000444195,79,0.015668719,79,629.765353,15,0.569900511,21,0.153037046,79,707.2727273,2,1679.6,,,,,,,0.662008282,32,0.26985786,53,0.701373363,32,0.066874028,32,0.141136,9,0.055854,17,1.93,3,0.77,66,0.491951,55,0.435598,47,0.538499,63,547.6510067,530.7386112,563.615489,12.93959732,49,16.2147651,65,0.590604027,54,1.288590604,33,0.375838926,30,2.469798658,39
